commentText
"Part 2 : https://youtu.be/A9oRy-5lsTE
Part 3 : https://youtu.be/KzlDlH0gydk
Part 4 : https://youtu.be/jFLYofm7_E4
Lagu Ending : https://youtu.be/zADoppKxxh8

Note : Video ini mengandung bawang

Jangan lupa Share & Subscribe ya.."
"Aku rindu masa kecil ku... 

Kasihan kamu dek dengan masa kecil kalian skrg.. Tdk sebahagia masa kecil kami

Inget dl kalo hari minggu 
Pagi"" anteng didepan tv sampe jam  11 
Full kartun 
Power ranger 
Dragon Ball 
Doraemon
Wkkwkwkw"
Kenangan dlu terobati dengan kartun nostalgia ini...
Huchiii🤣🤣
"sumpah,gue pengen balik ke masa kecil."
mama
Masa2 indah televisi indonesia nih . Beda dengan yang dulu
Dulu saya nonton ini di spacetoons coba aja 2018 spacetoons dikembaliin lagi😭😭😭😭😭
masih gue lihatin
"Dragon ball and Tsubasa  kerenn haha inget jaman dulu,, Ampe rambut gaya Tsubasa gw tiruin"
terimakasih banyak min sudah menayangkan kenangan era 90 an yang saat ini sudah jarang di temukan di tv
Berbahagialah kita menjadi anak 90-an yang penuh dengan keceriaan masa kecil.. 😀😀
"Salam 90an...
Rindu masa kecil"
Pengen punya mesin waktu.. supaya balik ke masa kecil 😣😤😢😭
Good pisan...jaman tv juga masih hitam putih d saya ni film film...jaman Wiro sableng...
hutchi 😭😭😭 kangen bet
"DIGIMON YANG PALING NGANGENIN SUMPAH :"""
"DENGER LAGU LAGU JAMAN GUE RASANYA PENGEN MUTER BALIKIN WAKTU :""v MERINDING GUA DENGERNYA"
sedihhh... ingin kembali... 😭
joss
Ingin kembali kemasa dmnaa hari minggu full anime hehehe
"Nostalgia sekale 
Jadi keingetan masa lalu yang bahagia ✌"
1989
Lagunya P-Man asyik juga :D
Zaman TK n SD ku nih :*
1990  hadirrrr🙋
"yang nonton ini mungkin kita seumuran, ahaaha😂😁"
"Jadi ikutan nyanyi sambil senyum senyum sendiri..
#gakingetumur
Makasih banyak buat yg upload.."
ini jaman q bro
Kok pokemon g ada cuy
terharu gue....
saya kok senyum -senyum sendiri ya
Masa kecil yang sangat membahagiakan...salam 92
teringat masa depan gw😢😢
"p-man, oh p-man  datanglah kerumahku"
"zaman dimana dulu hanya terfikirkan kesenangan.. no women no money i'm happy
no cartoon yes cry.. 😁😁😁"
"banyak yg marah karena anak sekarang nonton anak jalanan dsb,
ga inget apa dulu juga nontonnya 
inikah rasanya, pernikahan dini dsb,    jadi sama aja, cuma cara pandang kita udah dewasa jadi liat anak nonton senetron itu ga pantes, padahal sama aja dulu lu begitu"
"Nonton ini selain nostalgia jaman kecil, yg paling bikin sedih ingetan sama almarhumah mama. Dulu setiap hari minggu pasti kalo bangun kesiangan suka ngambek sama mama gara gara ga dibangunin terus nawar terus kalo di suruh mandi. Aaahh andai bisa diulang 😢"
Nostalgiaa.  Rasanya full lagi bahagia gue
Ga berasa air mata netes sndiri😭😭😭
Perbanyk kartun yg mendidik musnakan sinetrooonnnn
Film animasi yang dulu aku suka.
Generasi micin mana tau 😂
Masa depan semua mari kita banguun.. 😉😉
"jadi pengen nangiss 😓😂😂 inget masa dulu, hari minggu hari yg paling menyenangkan, menghabiskan waktu dengan standby dpan tv 😄 rebutan chanel sm kk. Jdi pengen ke masa dulu eh!"
"ke inget masa kecil😭😭
hari minggu pagi2 udah putar indosiar trus berantem ama mama karna di ajak ke pasar 

sedih gua pas dengar ost digimon"
Grgr Tsubasa gue gebokin Ade gue pake bola Kaka gue alhasil gue di omelin emak gue krana Ade gue nangis. Hahahahahaha Badung banget gue jaman bocah yaa Allah wkwkwkwk 😂😂😂 selamat tinggal masa keemasan anak 90an.. 😥😥
"Nostalgia sangad XD 
dulu mah gw udah dah :V dari shubuh sampe sore stay TV XD"
"Thank's min. W jd nostalgia lg pas waktu kecil, klo hari Minggu gx mau keluar, sore maen kartu yu go oh, sampe ngikutin ritual buat ngeluarin kartu dewa, kalo aja film jaman dulu di tayangin lg w pastii mantengin tv trus."
KALO KATA RAISA MAH TERJEBAK NOSTALGIA!!
"Kami rindu.
@untuk tv loka d Indonesia puter kembali kartun 90n kami rindu 😭"
"merinding gw coy
inget dulu pas masi bocah"
Lagu Dragon Ball paling gua suka 😂
"aku lahir tahun 2002, tapi ak suka nonton anime anime ini. bahkan sampai skrng 😊"
Shinchan mana?
Pengen kembali ke masa anak2
Trimakasih dh mau menanyangkan cuplikan lagu kenangan anime masa kecil
jadi inget dulu waktu masih kanak kanak hehehe..
Tuh kan jdi sedih
Njer cuma tau tsubasa
Orang pun datang tak akan kembali!
"jadi pengen sekolah sd lagi 😂😅😂(1999-2005)
pasti dulu anda-anda ingin/pernah menirukan salah satu gaya karakter anime baik di sekolah ataupun di rumah 😂😆 p.s. momen tergreget pas zaman beyblade, maen di wajan/katel udah serasa kyk di arena aslinya 😂😂😂"
"Sumpah kangen bneran gw dgn siaran tahun 90an dmn gw sangat beruntung hidup dijaman itu, jaman skrg prihatin sumpah 😣"
kangen 😭
"Perna sekali pas nonton hatci ... 
Gak taunya emak gua jga ikut nimbrung..
Pas lewat satu scen sedih eeee malah emak gua juga ikut nangis...
Kan gua jd bingung coz masih bocah pada saat itu"
Terima kasih indosiar dan rcti menemani masa kecilku dengan tontonan hari minggu yang ajib.
lari lari tiendang dan berlari..
anak zaman sekarang klo di suruh nyanyi lagunya cinta-cintaan.
doraemon aj yg ane ga tau :v
Dulu paling pengen cepet hari minggu haha 😁
"rata rata gua apal karna gua rela nonton TV pagi pagi,dan ninggalin temen temen gua main bola,yang abis nya di tentukan suara adzan bukan waktu 90 menit"
masa depan semua mari kita bangun....  anak jaman noww!
hehehe kenangan indah masa lalu
1998 hadir
Minggu pagi. Bangun. Duduk depan tv. Nonton. Makan mie goreng. Jadi sasaran emak krn ndak mau mandi. Pas iklan buru-buru mandi. Kehidupan polos tanpa gadget.
KOK PENGEN NANGIS YANG INGET MASA2 KECIL YANG SANGAT MENYENANGKAN
Gw paling kangen ama Yu-Gi-Oh sampe skrang gw masi ngumpulin kartunya xD
aaaaaahhh gue nonton sambil nangis inget duluuuuu :'(((
kena bgt pas lagu tsubasanya n pman.. berasa kita blk lg ke jaman itu. ada yg kurang samurai x nya min. lagu legend enak didenger tuh
Apa cuman gw yang liat video ini sambil ikut nyanyi ?
"Please lah channel2 tv di negaraku yang katanya indah ini,ditayangin ulang film2 kartun ini :(("
Ouhhhh doramemon 😙
"Masih teringat betul, minggu pagi sampe stengah 12,
Rindu saat masih jd jagoan kecilnya ayah ibu.. Tak terasa waktu cepat berlalu, waktu mmg kejam tk bisa kukembalikan lg, masa2 dmn belum banyak pikiran, blm ada beban, yg ada hny belajar & bermain. Sekarang sdh harus berjuang melawan kerasnya hidup, dan mau ga mau harus keluar dr zona nyaman & indah sperti dulu.

Mewek, bodo amat dibilang cengeng/lebay."
Kangen tontonan SD....
walau pun sekarang gw jd ngerasa lucu ngeliat tontonan jaman dulu yang efek animasi ny masih jadul..tpi ok lh
"beruntung lah kita anak2 90.n yang sempat nonton INDOSIAR,RCTI yg masih +"
Chanel TV space toon udah kagak ada lg..😂
Inuyasha gw suka
Jadi pengen kemasa dulu yg taunya cuma nonton tv power ranger gw suka bgt
makasih yg buat  video ini gua makasih banget soal ya nostalgia semoga sukses terus
Apa cuma gua yg masih apal lagu lagunya 😂
Girang dger lagu2nya..pdhal umur gw uda 25taun..huhuhu
Bangga gua lahir 90'an...
Andai w pnya msin waktu..
"Mau ikut nyanyi tp keduluan nangis,,bahagia juga inget dulu 😭😢"
"Tontonan hari minggu dari pagi smpek siang 😂 selain ini suka juga nonton detective conan, chibi maruko chan, saint seiya, asari chan,hamtaro, banyak lah pokoknya kartun berjaya 😂😂"
Alasan kenapa gua bangun pagi dihari minggu.
