commentText
Sok jago sama guru anak jaman skrg ajg
wajahnya ganteng kayak boneng
Gx sekolah cong
"Prinsip almarhum bapakku dan almarhumah ibuku mending anak di tempeleng guru sekolah atau guru ngaji dari pada di tempeleng masyarakat karena salah mendidik dan kurang ajar..
Alhamdulillah waktu kecil cukup sering nangis karena di tempeleng guru sekolah mau pun guru ngaji karena suka telat dan males belajar/ngaji plus bonus di tempeleng orang tua kalau tidak ngaji...
Dan hingga dewasa ini Alhamdulillah tidak pernah merasakan di tempeleng Masyarakat, nau'dzubillah semoga dijauhkan....
.
FUCK HAM...."
GURU SILATNYA MANA? HAPUS ITU ILMUNYA SAMPE GA BISA SILAT LAGI
Pembunuh berdarah dingin hati2
pake kopeah segala sok alim si anjing
muka anjing
Lagunya judulnya apa?
"sini duel ama gw,, lu silat gw taekwondo"
"Apalin baek2 mukanya!! Kalo nanti ketemu dijalan jangan lupa langsung bilang ""pahit pahit pahit pahitttt................."""
"Guru mukul lapor polisi krn kekerasan.. guru kasih hukuman yg gk sakit contoh cuma nyoret muka pake tinta marah malah membunuh 😂

Ya Allah berilah hidayah buat si pembunuh gila

Semoga bpk diterima disisi Allah 😇"
Muka kaya tai
itu dia bisa bela diri?
"zman dulu, tidak ada internet dan medsos pembuat viral, namun acar di TV sangat mendidik dan hampir semua generasi mileneal berpendapat sama. Coba inget film film berkualitas dulu seperti inuyasha, doraemon, satria baja hitam, ultraman 3, sailor moon, dragon ball, digimon, guyferd, kobo chan, hamtaro, dll. Itulah sebabnya kita generasi mileneal menghormati guru, karena di film film itu tokoh utamanya menghormati guru juga."
"Adu sama gw,seberapa kuat dia,kalau gw berkelahi gk pernah berhenti,kadang terbunuh lawan"
"Sepiro silatmu le....entenono mlebu,tak kethok tanganmu su..."
"Mukanya alim gitu tapi sifatnya minus
Belajar silat dipraktekin ke guru sampai meninggal hanya karna dicoret crayon pipinya? Situ waras tong? Anak jaman now kalah sama anak jaman old! Gimana hidup lu kalo hidup di jaman old? Kuku panjang, dipukul tanggannya maje penggaris, rambut gondrong dicukur asal-asalan, brisik dilempar make penghapus. Lapor ke ortu malah disukurin plus ditambahin. Anak jaman now attitudnya M I N U S ! ! !"
"Pesilat jumawa, baru bisa beberapa jurus udah ringan tangan, apalagi bisa kamehame.. 😤"
Udh gd nye pasti jd setan tuh bocah
"Anak sial...coba BPK Lo dibunuh org....mau g Lo???
Ank haram jadah"
"Wkwkwk... W yakin ne anak keluar penjara jd pemulung.. 
Yg sabar tong... Baek-baek di buwi,,  dsna bnyk om.. Om.. Jahat.. Qkwkwk"
Mau muntah liat mukanya
Carok bung
"kabarnya ni micin di penjara cuma 7 tahun ?
kalo memang bener , kelewatan ini nyawa kok cuma dibalas 7 tahun ? 
ntar makin banyak kekerasan terhadap guru ."
"Anak sekolah skr pada ga mikir...
Pada ngelunjak ama guru..!!!"
biar rasah di penjara seumur hidup mampus kau anak lonte
wajahnya aja udah keliatan jahat.
Matanya mata bajingan
Mau jd jagoan? Msh di bangku sekolah aja bnyk gaya udah serasa yg punya sekolah. Diluar sana msh bnyk yg lbh jago dr lu. Bocah goblok!
