patek celeng
malu tuh sama silat na
silat kok dijadiakan pembunuhan
selamanya dia juga bakal dijauhi sama orang
kagake mikir ending na
blum lagi jadi guru itu berat kadang masih dapat cemoohan dari murid ataupun wali murid
buat semuanya perjuangan guru itu sangatlah berat
buyaran guru sudah dikit apalagi mengahadapi murid kyake ini
aku baru ngrasa kalau jadi guru ternyata sulit
guru di gunjing saja sudah sakit hati apalagi sampai melampaui batas itu
buat dunia pendidikan bagaimana nasib guru honorer yang gajinya saja cuma pas buat beli bensin
semoga amal ibadah guru tersebut diterima disisi allah swt amiiin
dasar bocah , baru tahu silat dikit sudah belagu , berani habisin nyawa guru nya pula , goblok amat loe anjing , dasar nub
hai para napi
siap siap kan diri kasih pelajaran tuh sama orang ngga tahu diri sok jago masa guru di pukuli
sebentar lagi datang di lapas dia
moga kamu mati ketabrake truk kepalamu pecah
mukanya kaya tai
satu kata bunuh ini wes terlewat batas
ini bukan persoalan kenakalan remaja
hukuman mati yang harus di bayar
semoga dihajar sama perguruan silatnya
gue catet , gue simpan nih muka , gue ingat nih muks , gue ingat nih namanya
jangan sampai kelake jadi menantu gue
ya allah jauhkan dia kelake
saya doakan kamu digebukkin di sekolah sama dipenjara
hukum karma dan laknat allah pasti berlaku untukmu
mati saja kau dipenjara
mukanya seperti pantat baby loe cuih
sok ganteng loe anjing sok keren tua jadi gembel loe
bapaknya preman pasar , ngajar anaknya juga seperti preman , ujungnya jadi pembunuhan
top toh , jadi terkenal , viral dan kelihatan jagoan
selamat menjalani hidup di prodeo
mukamu koyo asu
coba kalau dekat sudah aku tendang tuh muka
bawa ke kalimantan
biar di penggal
kudu ngiseng ndelok raimu
kaloke di medan lehermu kupijakkan sekali biar tahu rasanya bangsat
motone kyo manuk gagak , amit jabang bayik
mumek muka nya
teman teman semua , mari kita doakan dia agar dia bertaubat dan kembali pada jalan yang benar
ya seperti itu anak sekarang
di hukum ngga boleh , apa ngga boleh
malah nglamak
wajahnya saja sudah seperti monyet
memang ajaran monyet tanpa etika
tong muka dicoret saja loe balas membunuh , dulu teman sebangku gue dipentalin krpalanya dimeja karena kedapatan tidur , dan alhasil dia tidak pernah lagi tertidur saat belajar boro tidur bersin saja ngga berani dia mending bersin diluar dan itu efeknya positif karena kalau siswa ribut dalam kelas maka 2 jam pelajaran habis hanya umtuk menenangkan siswa iblis zaman sekarang saya tak punya hak menjudge apalg memghakimi karena saya yakin balasan tuhan lebih sadis dari balasan manusia
mukanya saja kaya setan
semoga membusuk di penjara
anak monyet
habis kau di dunia habis pula kau di akherat
bukan hanya keluarga , bahkan semua orang murka dan akan dendam sama bangsat seperti kamu tuh
low sampai kapanpun tak kan ada yang mau menerima loe kerja ,
generasi sampah
hukum mati biar yang lain tidak berani lagi
mosok gurunya sendiri dibikin mati
posenya seperti orang beak
enek gue lihat muka nya
anjing fuck of
<haha> itu guru lho bangsat
wajah juga jelek
kaloke berani ya tanding di area moshpit
banci loe
nyawa di bayar nyawa
muka setan
muka sudah jelek sikap pun jelek
kalau di amerika sudah di penjara sampai kakeke tuh bocah
ntah kenapa hukum di indonesia kalau masi seragam saja omongannya ham
ujungnya cuma di penjara 2 tahun
sudah jelas nih bocah psikopat
masa depannya sudah jelas jadi bakal bandit preman
tunggu saja tanggal mainnya korban ke 2 3 4 selanjutnya
bangsat iblis
mukak nye keq tai najis hukummatimuridbunuhguru
siap loe mampus ya
sok silat
dasar murid anak setan iblis tega benar sama gurunya
ngga pernah didik orang tuanya mungkin
kirim kekalimantan saja
biar di jadikan tumis
kalau di kalimantan mati nih bocah
potong saja tangannya biar ngga petantang petenteng
murid bangsat
satu saat km akan mati lebih mengenaskan bangsat
mudahhan km mati mutilasi
bangsat anjing babi
reflek ngejar apa kesal ya di bangunin guru ?
ada masalah nih bocah sampai keke itu
nak nak
pas mau jadi apa dikau ?
