kaesang , video apaan sih ini
siaselah indaktau , video anjing
xanderx tm , opening nya maksa b b
dimas bopong , ngga jelas
kinawa project , nice edit , btw kalau boleh tahu kakak chan theme song nya pakai lagu apa ya ?
keren <haha> <haha>
atikah romadoniyah ,
they cal me e di ngga ya and a e s t h e t i c , 6
6 ada cibaku tensei
muhammad fatkhurozi ansori , what song 00 05 ?
yemima kasih , ha
gokil kakak kaesang
kita tunggu yah videonya yang lain
hafidz syahadatain , itu lagu apaan abang
adi rahman , 5 10 itu judul lagunya apa ya ?
mega widiantari , ngakak sama editing loe abang
narendra antrgaming , bucin itu apa ?
jwb plis
assaibar kuy kuy , iti lagu ost soundtrack nya apa sih yang terbang terbang itu <haha>
jarul janata , ngomongnya kok seperti bagaimana gitu ya ?
indvevonet lastday , fans kaesang merapat
entitinerpro , abang lanjutin power rangers eps 2 dong plisssyayayay
herdin hudayat , seharusnya lebih dijaga omongannya sbg anak presiden , apalagi yang omongan yang bersangkutan dengan rakyat indonesia indonesia
f c fz , editan lejen
fathur rahman , kan apa yang gue bikin bubar bubar reza blue claw oktovian
ananta deta , editing video level dewa
moto racing z , editnya pakai aplikasi apa mas ya
lala harnanto , ngomong dulu baru ketawa dan ngomongnya juga gantian mas
enji bstarz , mantap editingnya
mumunis al ghazel , arap uda ada kemajuan ya
omongannya uda ngga kotor kotor seperti dulu lagi
kevin immanuel , shooting star edit nya ngga nahan
guntur lucky , bucin apa ya ?
davira yulivia , natural ketawanya aja sih ngga usah diedit
davira yulivia , dari intro nya sudah ingin berkata bangsat
sean pierce , itu judul lagunya apa ya yang jadi back sound ?
felovania xx , kesel sama editingnya bikin ngakak <haha>
nadia rosdianti , ngakak
josephine siagian , 10 50 gaes
andri oey oey , opening ya mantap
the69production , salam anak kelapa gading jakuthadir
aqbil ari , indomienikmat
lazuardi bintang , jumpscare di 10
50 <haha>
haziq mirza , abang itu lagu apa
zotd id , itu backsound yang diedit itu namanya apaan ya dari dulu w cari ngga nemu nemu
jalan semut , ?
nada kamaru chanel 72 , t e r c ya di u ke
jaya amal rizky , apa cuma gue yang nonton nya berulang kali
pasha legra , asu gila chan
basyiirs amb , subs channel aku nanti subs balik dan mampir juga ya
muhammad arifki , parah chandra , shooting star everwere
dzaki rizky , lain kali bikin shooting star aja kebetulan saya suka shooting star thank you
zieggy ronnavelly , asli suka sekali <haha> mangat baang abang semua
rahman dika , kaesangnya ngga jelas mau sombong bego lagi , sudah bapaknya mimpin negara ngga benar lagi lagi
yvld gracian , aku t e r c ya di u c ke
naza3137 , apa nama lagu di detik ke 00 06
adiyat desu , kok w ingat anime crak yah ?
blazixfx intro designer minecrafter , ngeditnya niat banget v
fahrul rozi , judul music nya apa sih ini ?
, judul lagunya apa ?
raynaldi siahaan , editan tingkat master gaben
mhmdrizkyakbar , wtf <haha>
cosmic 21 , meme nya namanya apa
fadilzamroni , legit shooting stars
allien str , itu lagi apa sih
gunardi barkah raharjo , amplop paling besar kan dari loe loe
mira yuliarti , editannya
hannan sulaiman hanz , subscribe channel w nanti w sub back
yang sudah sub comment
promosi <haha>
jerry silalahi , ada yang tahu judul soundtrack nya
florida cimong , guys kalian cek yach chanel youtube florida chanel abang tim tim ikut promote yach
diva seruni , wiw trending mantap terus kalian
h4k1m , itu lagu apaan yang diedit
izac kali , fix
ngakak <haha>
reza pn , tim tim
a v , bucin apa ya ?
agus tina , editing nya parah parah parah
adnan garry , <haha>
sri lestari , musiknya itu mulu <haha>
ghia arya , honestly
entah aslinya kaya gini atau settingan tapi disini si kaesang belagu amat ya
nurani , video apaan sich ?
cengar cengir ngga karuan , pret
so ganteng , ha
felicia amelia , editan nya lucu diputer puter orang nya
dafa abinaya , sumpah ngaka lagu nya nyebelin <haha>
ilhamid , shooting star
panji maulana , editan nya kocak anjir
fadli nasution , ngeles mulu sudah
kata orang mana ada maling ngaku
suli anto , jaga wibawa
fitriannisa siswati putri , paling suka editing pas opening
mis grandy , backsoundnya familiar lagu siapa sih ?
hens putra , muka abang arap
muka tipe sedih ya ?
van 69 , shooting star
teukurahmatpolem , di lestarikan ok abang , video nya edittor nya keren , bagus buat kedepan video nya abang ,
subscribe dan like ok semua chanel aku jugq jugq
bakrie dodol , makin mantap daah editingnya abang chan
btw backsoud nya apa tuh ?
nila salsabila , telat nontonnya uey
alif ichwandi , itu musik yang tet tenonet apa judulnya ?
jawab abang gue ingin dengarin sampai beres
nia nia , arap tanjung durenya di mana
agus supriatna , kaesang muka jelek kurus kaya tukang kebun
rearmrenkar , ti ti ti tiriti
enno blackrose , backsoundnya keren
reza vciel , ng jelas loe lol
ray di , apaan sudah shooting stars mulu <haha>
fuck ultraman , weird genius itu apaan ya ?
merek kresek ?
fika rahmadia , sumapah gue lagi sakit gigi ada jarawat di bawah mulaut lihat begini an sakit parah ketawa ngga karuan
shofwatillah hasan , sudah garing nonton vlog vlog
satri yadi , keren editannya chan , reza gni juga ya
sekarang sekarang biasa biasa aja
<haha> <haha>
reyhan devara , 5ontrending
michael christiadi michael , hallo kakak kaesang
mailani fitri , editannya memanjakan matak quh
m zia f , tranding 5 abang
abak bakri , heuuh apanya
tak ada manpaat nya ini video
wenderlin koswara , ngakak lihat editingnya
ambar pratiwi , bucin itu apa sih ?
orang gila , ngga guna ini video
sama seperti
suka japanis teacher ?
klik chanel aku nih sekarang
adrian leo hadipradata , tuh kan jadi trending
gunawan hadi , nonton yang ke 1000
jeremy dev , yang edit beda ya bukan chandra ?
captain fikri , jangan lupa mampir ke channel aku ya
tasriq al zik , trending ke 6
neisya s
gifariani , up terus trendingnya
akbar julian , the new of thug life
luthfi azhari , judul lagu nya apaan ?
uti wendi , selalu bekarya , yang penting tidak merekayasa
abinaya sultan , tetetetetotetotetetetet
vania casimira , kaesangsavage kaesangsavage
yugio sky , abang nemu editan baru ya , bagus abang
shella hablizel , ngga enak editannya tapi lucu sik
mad dog , kangen <haha>
boruto episode , ha insprired meme nih
virginia gloria , bucin apaan sik ?
siti rodiah , lil dictators
dhimas bram , anak sama bapak sama aja
ardan trans , fuck the hate
anisayuntiana , seneng
apank1156 gaming , tuh si manusia ndeso
arya shandika , mampir ke chanel gue
muhammad irvanni bahri , sampah
annisa maharani , ngevlog ngga perlu lama lama yang pentinv jadi trending
tumbel willy , sound trek apa abang ?
galy , judul lagu opening
bagraiders shootingstar shootingstar
samsul arifin , kaesang mantab
ha ha ha gue demen banget waktu lihat video loe yang ndeso
memang benar banget itu
meyliani brigita putri , itu backsound nya lagu apa ?
ada yang tahu ?
sarifudin jr , nonton berkali kali ngga bosen bosen karena jadi trending yt
anthonya danis , kurang lama videonya abang
lain kali yang lama dong abang durasinya
dedsec hacker , 6 di trending
gamer 1234 , aubacribe chanellku dong
adya danastri , tet tetet tetew
clara merlinda , shooting stars ha
dicky putra , amplop paling gede dari kamu kamu <haha> <haha>
kasino dede , penting
kok di laporin
novalyn nono , kaesang love
ary rezki , nama lagu editan suaranya apaan sih abang ?
dari tadi aku nungguin itu aja dari tadi ha
wildanz , hy teman teman semua maen maen ke channel gue ya
klam , kaesang savage af
peso okta ke , mari jaga laut kita
spammy slime squishy , editannya keren habis
spammy slime squishy , itu cara ngeditnya bagaimana sih ?
keren habis
ahyani yani , bucin itu apa ya ?
hermawan abdussalam abdussalam , mayanfa
r game , ndeso anji
william gaming , ini super sekali
coyyo cah monster sumpyuh , boleh juga bos omongan nya yang tinggi sekali
diatas langit masih ada langit bos
otto von bismarck , <haha> s my
hafaz aladeen aladeen
john kelvin , you trending nomor 7
pagopat , editing qna aja level dewa
rizky jumadil , lagunya lagu apa sih
vascoinkiriwang_ gaming , please subscribe my channel
ridzki maulana , videonya sesuai kelasnya
music korg , wow
mario s , 18 25 aja yang di urusin
hel boy , bla
panjaitan 42 , backsong nya nyanya
siti huz , selalu ramai kalau 3 orang ini nongol bareng
yang sering sering aja ya ?
robert robibn , sudah berapa ya duit yang mereka hasilin dari cuma vidro klarifikasi ini ?
jajuli bhaskoro , ha
xrenjo , shooting star
real micky , andovi tiba tiba kena
gultom alx , kesimpulan yang gue dapat dsni adalah kaesang cocok jadi security , candra jadi pengoplos beras plastik , reza jadi begal begal
carine phang , <haha> itu shooting star nya ha
dani ramdani , abang loe bikin video yang editannya kaya gini tapi yang di undang kaeasang sama om deddy dong <haha>
akbar iman , abang editan nya kocak , edit pakai apa ?
kevin nathaniel steven , apa cuma gue disini yang suka sama scene pas lagu shooting star
mix vid , subs gue nanti gue back
doni go , songong banget
hendra rosadi , nih si kunyuk makin kelaguan aja lama lama
woooy ingat woy ingeet
roby hikmawan , skil editing skil dewa
greatongan , so awesome
enddrue diaz , apa sih ?
arief lamba , luar biasa
bella syahadah , 6 on trending <haha> good mas kaesang
trans4 channel , gokil gokil
dimas priyo , maaf ya , menurut gue memang kurang pantes aja gitu , jatuhnya ngga berwibawa , karena bagaimanapun ini adalah sebuah negara , apalagi seseorang yang mempunyai urusan langsung dengan negara , harus mempunyai rasa dan sifat negarawan yang kuat jadi kalau dilihat oleh negara lain pun pasti segan , hanya opini
brot daily , maaf mau nanya , bucin apaan yah ?
mugiwara blogger , 8 45 <haha> jadi indonesia
ngga peduli
ngakak moment
apis legit , berdiri di lrt sama bus 2 jam
mrt 1 , 5 jam
aulia wafiqah , penting sampai di laporin
ahoker sejatu cebonger setia , si anak cebong
keren uga
vanessa sihombing , bukannya ngehate ya
tapi gaya youtube nya chandra mirip mirip sama wassabi production a
a alex wassabi , kalau ada yang tahu ya
missbigsize , ketawanya di paksain
ngga lucu , anak presidennya terlalu dingin memang dingin sok dingin <haha> <haha>
lolololol , editingnya putus putus bikin skit mata
helmy anwar , shooting star nya agak ganggu sih
risaiwata , admin dagelan dagelan
muppy televisi , salam ndeso abang
lena harahap , kakak chandra kok ngomong nya bisa cepet keren
terus berkarya ya kakak kakak
dhea diary , ngakak
sama animasinya seperti wtf moment mobile legends ha kudu ngakkaaak pol
dyra daniera , kurang lama nih
bond cal , awesome
farhan ishar nasution , op tranding nih abang chandra 7 kapan kapan kolaborasi sama raditya dika dong 2
gadget tutorial , ha
joseksi pasar , nama lagu kocak muter muter itu apa
vines derrel , dari tadi gue ngakak gara gara shooting stars
katarina anastasia , pendek gaberasa sudah habis aja
mala mei , keren sekali
clapn , yang berbaik hati , minta likenya dong
hendri fadhli , sampaah
erwansyah pradana , mantab skil editingnya abang candhra
apoy parlente , dewa habis
hasmo , terlalu banyak shooting star
summer vacay , bucin apaan sih ?
rayvern siever , musicnya judulnya apa ya
olis khalifah , insyaallah
rezim ini tumbang
abmierdal rahmat , pangeran si anak raja mana mungkin di penjara
tenang aja vroh
fiqar subagja , trending juga ini <haha>
siluman cantik , ojok kakehan polah nak nak
sitof down , yang baik orangnya subscribe dong channel aku yaitu hyperbross619
rizko dwi prayoga , keren
valen rio , keren edit nya kakak
vazza uciha , nice kakak chan
agil fatal fajri , obrolan seru
gabriel arya , akhirnya trending abang
saisar yanuar , ndeso
diantara pgb , sok kali ngomongnya si kaesang ini
erpan_ 1140 , apakah aku doang yang ngomong hey whatsap temibok dewet dewet
ibrahim alboneh , <haha>
gb lover , video kumpulan anak anak goblok yang tengah unjuk kebodohannya masing masing
muhammad fadhil , wow
elizabeth amos , sub my channel nanti di sub back thanks
pes kris , bucin apaan yah ?
ha maklum orang ndeso
, mantab
pendek makin kejang
rifqi fadli hadiwijaya , musiknya namanya apa sih ?
yang tahu reply please please
iskandar put h , di tunggu ya abang , video selanjut nya nya
iskandar put h , boleh dong abang sekali sekali bikin video bahas tentang coldplay
droddie cool , tertawalah sepuasnya selama engkau masih bisa tertawa
rahmad arifin , video apaan sih
nwa arkana , coba pikir kaesang collabs samaf abang edho ngakak sampai bagaimana tuh
maharta raditya , gede bos
alfredo , ngakak anjir <haha>
karin octavia , <haha> 3
9 tranding tranding
salah ngkooooh trending harusnya harusnya
retno mareta ,
rian sukmaryadi , persiapan antisipasi hati hati di internet
ira mustikasari , ngakak
firly muhammad , editan nya ngakak sumpah
ahmad yanuar , apan sih nama ig loe abang
andrean akhsania fahmi , abang buat video sama cewek russia dong
intan prasetya mudi , gila trending 9 loe
gara gara ada kaisang nih
<haha> <haha>
muhammad iqbal , karena anak presiden aja
coba anak orang biasa
jeblos juga
ihza schannel , gue tebak ngga ada yang ngelike comment ini
anton satria , dih lama lama enek bgtz
orang bumi , kaesang say dasar ndeso yang kuliah dan di luar negeri balik balik ke indonesia malah hhancurin hhancurin
dont think u are rich boy becuses everyone is rich expect u u
mahardiksa antihero , bucin budak cinta
nabila sha , weird genius please jangan bubar ya v v
abyan ravatama , abang chandra bikin shooting star meme dong
fofo mofo , sudah tua masih maen ginian
farras daffa nur , biasanya aku memang ngga bosen kalau sama orang orang ngga penting
gisa widodo , abang judul lagu abang
deroz pradana , video apaan sih ini ?
reza dalglish , 1
kaesang ?
sok visioner , salah gaul dan cara , anak president ?
letoy dan goblok sudah negara
chandra , arap , siapa lagi lah itu , plis kebodohannya distop bisa ?
figoez marcelino , topi semua
red gaming ivan , abang intro nya bagus banget editnya pakai apa
penpen , ini baru anak
presiden low profile ngga sok tajir
aulia dian , sebel ya editan kali ini
prananta mairusdianto , abang andovi , abang andovi
ngga comment nich nich
selly teresya , bandar terpercaya sentapoker lagi ada special promo nih bosku
promo new member depo pertama dapat bonus 10rb 10rb
shakunta langi , tiap lagu shooting star w ngakak
sheilla azzahra , abang kapan collab sama yosafat ?
the doclang , yok kita lihat video apa aja yang ada di channel kami ini , pasti kalian bakal ngakak banget banget
meteorpostdotcom , baru belajar ngedit video ya ?
kelihatan noraknya
yunardi wijaya , ngakak <haha>
bagas pramono , saran abang , kalau ngedit jangan terlalu berlebihan lah , maybe yang dislike itu termasuk yang ngga suka sama edited sama pilihan backsound , btw aku like kok kok
agus kardi , thug life
lubby ghifari , i like those shooting star
alya nuryanti raksapradja , editannya
fransisca maria vilanda , ini editnya bikin ngakak
niky nurcahyani , editannya supeeer dewa
agnes arnez , buciiin
chi minho , ini editannya sumpah ngakak
bro wazap , andai ngakak ngeditnya
good job
dengar bubar kaya bubur
jadi laper
irfan zaki maulana , ya
cio lexa , ngakak woe
umi hidayatun nazah , 20 trending
sebentar lagi 1trending
yehezkiel boy septihana , editingnya abang kece
tapi di akhir jadi berkurang
yoni christy , salam kecebong
alfarizi dhiyaul islam , copyright oi kebanyakan shooting star w laporin loe
danang rizqy , tim tim
galang sajalah , malu maulin
anak prrsiden mainnya sama anjing anjing
livani rizky putri , why so samanya shooting stars
falah hazbullah , itu efek shooting star bikinnya bagaimana ?
ada wulandari ,
suci rohma , kereen
lanjut sering sering kolaborasi ya abang abang
alicia wijaya , memang juara sekali si editannya tim tim
johnya vulgaris , kecelakaan sejarah ini buahaha
diana yuninda , gila ngaaaakak beut daaah suka
prasatya satya , sombong bat anjir kaesang
produksi 2 pagi , stop this overused meme
its fucking cringe
you normies wont get itu
roni setyawan , video orang yang merasa lagi di atas angin
lucu menurut dirinya sendiri
gembong baskoro , selama tidak ada yang disebut , dihujat , dirusak nama baik terus saja kritis , biar mereka mencari cari
hati hati kecerobohan bawa sial
faiz mahendra , bucin apaan ?
toshiba bagus , songong banget nih anak jokowi
promosi lagu minang , kolektor garundang
bagus anggoro , orang penting apa coba
tunggu aja 2019
bae bae diusut tuntas tuntas
aldo al mono , kaesang ngomong sante tapi ngeselin
sitti awwaliyah adiguna dewi , mantap ya
alih aprian , <haha> anak presiden dilawan
dewintan khaerunnisa ar rahma , kenapa ngakak sih kalau mereka collab <haha>
riko chandra , bucin apaan ya
alhein chelena , sampah youtube
ghia syifa , gokil editannya abang
ryan thompson , itu lagu apa sih , judulnya apa apa
animasi indonesia , wait guys gue tahu kenapa internet indonesia lemot karena di rebut kaesang
gantar singgalang , ngga penting banget sudah kurang kurangin
debi nugraha , rujit
asembagus blitar , generasi opo to iki ?
berapi bro , anjinng gila nih host bedua pro banget kocak nya ha good luck mas bro
sael , sebenarnya meski top comment tiada kaum bumi pendek haters jokowi dan this is the main point sekaligus perusak nkri , gue agak khawatir mas chandra dan mas kaesang nanti dimainin lagi sama kaum bumi pendek
untung gue lihat website website bumi datar gue terpaksa sedekah rp 12 , <haha> tapi ini gue hindari dengan pasang adblock trennya lagi ngga serempet kaesang
tapi mereka tuh gitu , suka seperti keluar dari goa , kita ud ngga permasalahin <haha> mereka ribut sendiri
itu memang sudah taktik , waspadalah
ahok sudah kena tuh karena video di channel pemprov kan sebulan stlh upload diributin kaum bugs bunnya
despacito dimasalahin kaum bumi pendek sumbernya ae ig penebar kebencian suara rakyat <haha> suara kentut pas zamanzaman kita sudah bosen
hatara zachry , itu
wulandari ramadhanti , ha sumpah bagian yang lagu itu ngakak mulu sudah
alif ardan , editanya itu lho nice banget
frankey mt mt , lagu yang didetik 6 itu apa sih info nya guys
indra artadi , keren , bungker parah parah
evellyne flolretina
w , ngga jelas
evellyne flolretina
w , lagu tadi dari mana
karana canda , ini video ngga bagus untuk generasi muda
pemerannya lebay , bertato seperti bencong gaya ngomongnya
jangan dilihat anak sekolah
farid 172 , chandra weird genius nya mana ?
arap bubar aja lah , kan apa yang gue bikin bubar eclipse ha ha
dend , shooting star
raisa bryantia , abang video loe masuk televisi abang
joshua dominic , ngakak ndeso tapi keren habis
alyazalfa jenggo , kaesang and friend mantap jiwa
fikriansyah mufc , shooting star
zomblo , admin dagelan kow
yafi soetrisno , editing level dewa
silia rossena , t e r t r e dan di i dan ngga , up 1 1
rio ang , rio ang
bukan rio o ang <haha>
always happy , orang penting
pakai hati
vide wusidal amru , ini yang gue tunggu tunggu
kaesang sama arap
coba dong ajak tomy lim juga , jadi ber 4
pasti bakal lucu banget video nya
semangat terus can
ditunggu next videonya videonya
agnes eliza musa , editannya ye
fathin fadhil , meme shooting starnya kebanyakan , anjay anjay
fariz hadafi , the power of shooting star
rozan moody , yang optimis video ini bakal tembus 1
654 juta viewers pasti ngacung
amanda alisya1 alisya1 , agama apa
muhammad fakhri syahputra , apa sih ini
nda pentng
bgni kok jadi trending topik
yang nge like tolong dijelaskan
rogo jagad , kaesang sama agung hapsah sombongan siapa abang ?
fazli ce , kok banyak shooting star
rose bujana , perasaan cma arap yang ngga prnah hadir di istana
sdhngkn yutubers bwah sudah pada hadir
adwin sn , tim tim kaerap
amr motovlog , menit 12 editingnya ntap banget
htm chanel , musicnya greget
andromeda zero , ngga ngerti gue
alfin f syaid , maaf abang editan videonya agak kurang bagus abang banyak gambar gambar gajls gitu jadinya feel nonton kurang
tiar oktavian , wah asik , ajak kaesang kolaborasi , langsung trending no 8 sama 9
inulls inulls , ada yang tahu judul lagu detik 0 08 ?
reza reza , orang penting ngga butuh apa apa <haha>
ngga gracio , trending yo
samsul aripin , biar jadi trending 1 ayo umbulke
galih rahmawati , gemes sekali si lihat otot kaesang
annita syahfitri , sumpa , kakak chandra liow keren banget ngedit nya
farrel aditya , 1 14 <haha> anjirt
queen share , rujit
geo funnya , bucin itu apa abang ?
gue kira tadi yang paling buncit
rudy nrc , habis nampang di kompas televisi gaes
fatur fr , dasar ndeso
fast uploud , abang apa judul lagu di oppening itu
taufik yusuf , lagunya apa ini abang chand , pls kasih tahu tahu
egi bunga , rajin rajin sudah pada kolaborasi nih ber3
ngt _ gaming , pertanyaan nya , sudah berapa kali teeeet tdet tet tet teeeeeet ?
naomi najla , apasih nama lagunya ?
rage diamond , kalau youtube ditutup ya pakai vpn
kuah tongseng , yang ngelaporin kaesang kurang piknik
kenneth austin , dama lagu nya apa ?
zikripalembang zikripalembang , rezaoktovian anj ng
angelina ps , ngga penting anak kecebong
prince bur , iyain aja
farrel rafi , wuish
youssef ngganya , ha mantap
ke kesel an aku thd reza kampret sedikit terlampiaskan disini
kesel sekali gue karena kesombongannya
disini si reza kampret direndahkan kaesang
lumayan lah buat nampar tuh
xixixi xixixi
almyra rosedyana , ngakak editannya keren
lutvi suwandy , dikit dikit dikasih effect
hasim rachmat , kaesang mulai berani lempar lempar joke , salute buat kaesang
sug4r , arap gendutan ya ?
supe fi , suting setar eperiwer in dis pideo
shidiq fauzy , gue ingin nanya bucin apaan si ?
ringgit sukma habibie , inijudul lagunya apa ya ?
rosad candrosad , editan obrolan nya jeda nya kecepetan abang ha sulit dimengeti nya
dhimas rasendriya , shooting star aja
dwi fikri andhika , oh iya mantap
kevin verenza , yalord ngakak terus di mim nya
chaos gaming channel , abang gue suka editingnya
soni dewantoro , angkuh
tommy prosiana , tuuuuuut tutut tututuuuuut tutut
itssaid gaming , abang chandra ?
introduction songnya apaan yah ?
butu buat vid saya nih
mikaila assyifa , ngga ngerti aku dengan video ini kebanyakan gaya
yuli aja , ngga ada faedah
xcombat z , kaesangjoineclipse
embun padi , opening ter greget
xcombat z , tim tim
tri sugiarto , peralihan out of spacenya keren
muhammad nazar , kebanyakan edit <haha>
nova wardana , no
8 dlapan di trending bosque
ahmad zulfikri , fck chan , editan loe makin makin
fan joker , gue ngga pernah nyangka channel keq beginian paling enak , asyik samaf keren yang pernah gue tonton
andi mahardika , tetetettettettetet
chaterine ayuti , ngakak aja
dita di , kampret sfx nya
keingat video yang di 9gag gue lagi maskeran sampai retak
ganel movie , kok jadi seperti meme gini kesannya
damar wulan , nonton pemimpin harus byr vlog
sudah bosen sandiwara politik
kalau mau jangan situs gratisan sudah jadi pemimpin kok
wendy sumantri , ngakak asu <haha>
aykas , shooting stars meme in backsound is racun
marcela pinastia , 8 trending
ajie mackenzie , editing dewa
asian namaste , sumpah nih bertiga kalau bikin video roast ngga kelar kelar gue ketawa sepertinya <haha>
prafda pradita , ha keren keren
joe hahn , bucin apaan sih ?
dika ariesta , collabs yang paling gue suka seyutub raya
chandra , arap kaesang
sering sering ya ya
rama nolnham , maasssuuuk trrrreeennndddiiiiiinnnng
anggit fariesya , editannya tingkat dewa
dias ceper , reza blue claw oktovian ha
jhonya rian setiawan saragih , selalu buat ketawa
annasia sophia dewi , suka sama editannya
fardi abdillah , teruslah berkarya bro kaesang jangan dengarkan mereka yang dengki
iwanyells , best part 5 48
rizki sarjana , nonton spiderman di bali lagi kok pakai topi star wars <haha>
zforzaenal , anjir stiap kaesang ngluarin kalimat yang berisi kbijakan yang kurang ok ekspresi chandra dan arap bikin ngakak <haha>
b boby , hebat bapaknya listrik sama garem bisa naik , mantap , sebentar lagi pekerja outsorsing mau di kenain pajak , hebat hebat
bryan billy , sudah 20 kali gue nonton video ini ngga bosen bosen
sandityas nugroho , di penjara
ngevlog ha
sinyo ghelo romeo , baru tahu raja ampat ada kecebong
dan bilang sudah ngga peduli sama indonesia ckckck
resti desiani , editing parahsi
resti desiani , mukanya kaesang bersihan ya
nur , editannya ngeselin
specter comentator , bangkai
ngakak ngakak nonton ini
melvina douglas , bukannya kemaren chandra samaf arap berantem gragra video yang kami tidak bisa diam dan bukan mau diam ?
captain yo , bucin apaan
rahma tikasari , ngakak so hard
reza widianti , 8 on trending
rakakiz stream , chandra memang de best kalau masalah editan
lanjot chan
imas corgan , go kaesang go
mamba crack , mending gue lihat young lex dari pada lihat udel presiden kok
djoni novianto , salam kecebong
dimas cokro pamungkas , hallo ust m hidayat situmorang cs ,
ada video mas kaesang ndeso nich ,
tidak ada keinginan dislike kah ?
pahlawan palembang , video tidak penting dan beresiko negative
baiknya di pikir dulu unt si publikasi
i love my presiden
milisil rebel , bercanda boleh , asal jangan pakai nama bhineka tunggal ika
tuh yang pakai tato jelek sekali lebay lebay
kiki ramdhona , sepanjang video gue ngakak masa
anton le , bersihan kaisang
ambiya reza , ngefly otak gue ngedengarin shooting star
ellang zicky shavana , paling seneng kalau kakak chandra blog bareng sma kakak arap
noor hafizah , kalau ada kaesang langsung tranding ya
picking strings , tanjung duren , kelapa gading
she rapi , penting
sampai dilaporin
apgaming , editannya mantap
bangbenhard pakke , ow candra sekarang editnya maen psychedelic ya
nice shoot
enjoy the video
, aku juga orang ndeso
aulia fahdiyalhaq , fresh bangeeeet editannya
aku suka
ini sih chandra bingits
semangaaaaat bikin video video menghiburnya
bunda aira , gue mau bikin video bongkar sulap pak tarno ha , biar bisa jadi trending , bagaimana ide saya temans ?
doni a
, kaesang kaesang loe ngga nglawak tapi tetep aja bikn gue ketawa wadow
yudy tody , <haha> cebong team
gabsurd team , keren editanya
simatupang andre , fuck
shandy bima satria , <haha> ngakak
jihan badjuber , hati hati
bulan mei , wow
nick dota dota the art of a z , itu kalau boleh tahu lagu siapa ?
background sound
samefvck bas ha
, yah di laporin lagi sudah abang
daniel alexander , gasspol terus tangga trending nya , tutupin trending nya para youtubers yang cri viewers dengan cara yang ngga sehat
semangat buat threemusketers
bina araffi , yang di tutup itu channel yang konten nya ngga jelas , dan klik bait cuma nyari viewer
apa lagi yang sok sok ngebongkar sulap nya demian
<haha> jiji anying
imam baskara , ngakak pasti klau mereka collab <haha>
big bos , niat banget ngeditnya
, netnetnetnetnet
novia ganevi latiefa , editnya jago sekali
ulfa ayu fauziah , aku a nya beda dari yang lain gabikin bosen
ridzan ozan , ngakak anjiir <haha>
afid wildan , shooting starnya , ha ha
cahya gumelar , biasanya aku ngga bosen kalau sama orang orang ngga penting
true <haha>
itu s adesia , kok ngakak ya <haha>
sri maryati , gue sudah nonton ini berkalikali , suka
khalifa rizki , whats with the shooting stars ha
m yusuf , bikin video pendek pendek yang penting trending
tips sukses ala anak presiden
fahreza nasution , abang sumpah setiap gue tonton video loe , hasil editan nya selalu nyenengin banget , ngga bikin bosen yang nonton , gue nonton berkali berkali ngga bosen bosen abang abang
revanif sullivan , hhancur banget
hifni hidayat , trio kecebong <haha>
shofa opa , ngeditnya model baru ya ha
gustiva alif rahman , angga angga ha ngga penting , ha ngga lucu , ha gabanget
nyesel ketonton , sayang kuota kuota
feromon only14 , andovi da lopez sama dengan terbucin
muhammad ikhsan , keren abang videonya <haha>
niceilham , <haha> mantap
rian sukmara , kok ngga sekali yh si kaesang
indie chanel , ha
rhafi adam , sepertinya belum pernah di undang ke istana ya seperti youtuber lain
wendy winanta , makin ke sini makin keren abang video videonya
dasilver , ign 3 10 overused shooting star meme and do a ful dab
raihana tsanya , keren sama mas kaesang
jepret tustel , shooting star
raka paksi , video apaan nih ngga guna bos
ardani yusuf , musk di awal plis judulnya
martita alifia , pasti diundanglah , amplop paling gede kan dari kamu kamu <haha> <haha>
muktafur rockman , benar tuh kata abang kaesang
yang harusnya di laporin tuh abang arap
apiatul hoiriah , editan nya anjir bikin gue ngakak
osasyn , buat video tentang politik sehat
harus haris , koplak memang nih bertiga , bikin warkop versi modern gih
wendi abdillah , musiknya racun banget
ha ya ngga ?
nora mufidah , wis masuk trending
lisda denada , lucu sekali tiap ada efek terbang <haha>
indri nozawa , bikin ketawa editannya gokil
alen rizafadly , yang ingin lihat kaesang sama agung hapsah collab up
reihanleo , hati hati abang , tar kena kasus penghinaan anak presiden
an riliyanti , lucu soundtracknya kalau dibagian yang ngakak <haha>
muhammad hafiz rinaldi , lol to
saja siti hodijah , ngakak ya
ghanya br the king , lagu apa itu bro
jenniferjes , 2014 2015 collab samaf edho
2016 2017 collab samaf arap
keren sekaleh sekaleh
mans si , editan shooting starnya mantap
nunggu sethn lagi deh buat ngelihat kalian collab
ismail h
saputra , diambil lagi channel gue gue
danianto borneo , dari awal sampai akhir bikin ngakak
ngga ngebosenin
allya salsabilla , salam kecebong ya o sudah jadi trending yang ke 12 yo
alfan bagas , lagu shooting stars kenapa sih ?
buat apa ?
sahabat video , yang selalu cek perkembangan video ini masuk trending berapa acungkan tangan
irwinsyah moita , nge vlog di papua boleh abang
zahwa sakti , happy holiday
samuel martuani , tim tim masih ada ya ?
edho randa , collab season 2
ghassancbc , banyak shooting starnya
wisna resti , ha melucukan banget
fedo alvarez , bos
hamid , akhirnya sekian lama nama gue di sebut chandra
alay anjir
